simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100

tick,agent,score,energy,location,target
272.0,1,42,247,[28, 32],null
273.0,1,42,246,[29, 32],[32, 31]
273.0,2,68,261,[95, 6],null
274.0,1,42,244,[31, 32],[32, 31]
274.0,2,77,260,[95, 7],[94, 10]
275.0,2,77,259,[95, 8],[94, 10]
275.0,1,42,243,[32, 31],null
276.0,1,42,242,[31, 31],[28, 32]
276.0,2,77,258,[95, 9],[94, 10]
277.0,1,42,241,[30, 31],[28, 32]
277.0,2,77,257,[94, 10],null
278.0,1,42,240,[29, 31],[28, 32]
278.0,2,77,256,[93, 10],[90, 7]
279.0,2,77,256,[93, 10],[90, 7]
279.0,1,42,240,[29, 31],[28, 32]
280.0,1,42,238,[29, 31],[32, 28]
280.0,2,77,254,[91, 8],[90, 7]
281.0,1,42,238,[29, 31],[32, 28]
281.0,2,77,254,[91, 8],[90, 7]
282.0,1,42,236,[31, 29],[32, 28]
282.0,2,77,252,[90, 6],[88, 3]
283.0,1,42,235,[32, 28],null
283.0,2,77,251,[90, 5],[88, 3]
284.0,1,42,235,[32, 28],null
284.0,2,77,251,[90, 5],[88, 3]
285.0,2,77,249,[88, 3],null
285.0,1,42,233,[34, 28],[36, 26]
286.0,2,77,249,[88, 3],null
286.0,1,42,233,[34, 28],[36, 26]
287.0,2,77,248,[88, 2],[89, 0]
287.0,1,42,232,[35, 27],[36, 26]
288.0,1,42,230,[36, 25],[37, 23]
288.0,2,77,246,[89, 0],null
289.0,2,77,245,[88, 0],[85, 49]
289.0,1,42,229,[36, 24],[37, 23]
290.0,1,42,228,[37, 23],null
290.0,2,77,244,[87, 0],[85, 49]
291.0,1,42,227,[37, 22],[36, 20]
291.0,2,77,243,[86, 0],[85, 49]
292.0,1,42,226,[37, 21],[36, 20]
292.0,2,77,242,[85, 49],null
293.0,2,77,242,[85, 49],null
293.0,1,42,226,[37, 21],[36, 20]
294.0,1,42,224,[36, 19],[36, 18]
294.0,2,77,240,[83, 0],[82, 1]
295.0,2,77,239,[82, 1],null
295.0,1,42,223,[36, 18],null
296.0,1,42,223,[36, 18],null
296.0,2,77,239,[82, 1],null
297.0,2,77,238,[82, 0],[83, 47]
297.0,1,42,222,[37, 18],[39, 20]
298.0,1,42,222,[37, 18],[39, 20]
298.0,2,77,238,[82, 0],[83, 47]
299.0,1,42,221,[38, 19],[39, 20]
299.0,2,77,237,[82, 49],[83, 47]
300.0,1,42,219,[38, 21],[37, 22]
300.0,2,77,235,[83, 47],null
301.0,1,42,219,[38, 21],[37, 22]
301.0,2,77,235,[83, 47],null
302.0,2,77,233,[83, 45],[82, 43]
302.0,1,42,217,[37, 23],[38, 25]
303.0,1,42,216,[37, 24],[38, 25]
303.0,2,77,232,[83, 44],[82, 43]
304.0,2,77,232,[83, 44],[82, 43]
304.0,1,42,216,[37, 24],[38, 25]
305.0,2,77,231,[82, 43],null
305.0,1,42,215,[38, 25],null
306.0,2,77,230,[83, 43],[86, 41]
306.0,1,44,215,[38, 25],null
307.0,2,77,229,[84, 43],[86, 41]
307.0,1,44,214,[38, 26],[39, 28]
308.0,1,44,212,[39, 28],null
308.0,2,77,227,[86, 41],null
309.0,1,44,211,[39, 27],[37, 24]
309.0,2,77,226,[87, 41],[90, 38]
310.0,2,77,226,[87, 41],[90, 38]
310.0,1,44,211,[39, 27],[37, 24]
311.0,2,77,224,[89, 39],[90, 38]
