simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100

tick,agent,score,energy,location,target
190.0,1,16,317,[68, 37],null
191.0,1,16,315,[70, 35],[72, 33]
191.0,2,11,316,[12, 38],null
192.0,1,16,314,[71, 34],[72, 33]
192.0,2,11,315,[12, 37],[13, 34]
193.0,2,11,314,[12, 36],[13, 34]
193.0,1,16,313,[72, 33],null
194.0,1,16,313,[72, 33],null
194.0,2,11,314,[12, 36],[13, 34]
195.0,2,11,312,[13, 34],null
195.0,1,16,311,[70, 34],null
196.0,1,16,310,[69, 34],[66, 35]
196.0,2,11,311,[13, 33],[15, 31]
197.0,1,16,309,[68, 34],[66, 35]
197.0,2,11,310,[14, 32],[15, 31]
198.0,1,16,308,[67, 34],[66, 35]
198.0,2,11,309,[15, 31],null
199.0,2,18,309,[15, 31],null
199.0,1,16,307,[66, 35],null
200.0,1,16,307,[66, 35],null
200.0,2,18,309,[15, 31],null
201.0,2,18,307,[13, 32],null
201.0,1,16,305,[64, 37],[63, 38]
202.0,1,16,304,[63, 38],null
202.0,2,18,306,[14, 33],null
203.0,1,16,304,[63, 38],null
203.0,2,18,305,[15, 33],[16, 33]
204.0,2,18,304,[16, 33],null
204.0,1,16,303,[62, 37],[61, 25]
205.0,2,18,304,[16, 33],null
205.0,1,16,303,[62, 37],[61, 25]
206.0,1,16,301,[60, 35],[61, 25]
206.0,2,18,302,[18, 34],null
207.0,1,16,301,[60, 35],[61, 25]
207.0,2,18,302,[18, 34],null
208.0,1,16,299,[58, 33],[61, 25]
208.0,2,18,300,[16, 36],[15, 37]
209.0,2,18,300,[16, 36],[15, 37]
209.0,1,16,299,[58, 33],[61, 25]
210.0,2,18,299,[15, 37],null
210.0,1,16,298,[57, 32],[61, 25]
211.0,1,16,297,[58, 31],[61, 25]
211.0,2,18,298,[14, 37],[12, 38]
212.0,2,18,297,[13, 37],[12, 38]
212.0,1,16,296,[59, 30],[61, 25]
213.0,2,18,296,[12, 38],null
213.0,1,16,295,[58, 29],[61, 25]
214.0,1,16,293,[59, 27],[61, 25]
214.0,2,18,294,[10, 39],null
215.0,1,16,293,[59, 27],[61, 25]
215.0,2,18,294,[10, 39],null
216.0,2,18,292,[9, 41],[7, 43]
216.0,1,16,291,[61, 25],null
217.0,1,16,291,[61, 25],null
217.0,2,18,292,[9, 41],[7, 43]
218.0,1,22,290,[61, 24],[62, 21]
218.0,2,18,290,[7, 43],null
219.0,2,18,290,[7, 43],null
219.0,1,22,290,[61, 24],[62, 21]
220.0,2,18,288,[5, 43],[4, 43]
220.0,1,22,288,[61, 22],[62, 21]
221.0,1,22,287,[62, 21],null
221.0,2,18,287,[4, 43],null
222.0,1,22,286,[62, 20],[65, 17]
222.0,2,18,286,[5, 44],[7, 46]
223.0,2,18,286,[5, 44],[7, 46]
223.0,1,22,286,[62, 20],[65, 17]
224.0,1,22,284,[64, 18],[65, 17]
224.0,2,18,284,[7, 46],null
225.0,2,18,284,[7, 46],null
225.0,1,22,284,[64, 18],[65, 17]
226.0,2,18,282,[7, 44],[5, 42]
226.0,1,22,282,[66, 17],[68, 16]
227.0,1,22,281,[67, 17],[68, 16]
227.0,2,18,281,[6, 43],[5, 42]
228.0,2,18,281,[6, 43],[5, 42]
228.0,1,22,281,[67, 17],[68, 16]
229.0,2,18,280,[5, 42],null
229.0,1,22,280,[68, 16],null
230.0,2,18,278,[7, 43],null
230.0,1,22,278,[69, 18],[71, 20]
231.0,1,22,278,[69, 18],[71, 20]
231.0,2,18,278,[7, 43],null
232.0,1,22,276,[71, 20],null
232.0,2,18,276,[5, 43],[3, 45]
233.0,1,22,275,[72, 20],[75, 17]
233.0,2,18,275,[4, 44],[3, 45]
234.0,1,22,274,[73, 19],[75, 17]
234.0,2,18,274,[3, 45],null
235.0,2,18,274,[3, 45],null
235.0,1,22,274,[73, 19],[75, 17]
