simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100

tick,agent,score,energy,location,target
335.0,1,31,175,[29, 6],null
336.0,1,31,174,[29, 7],[30, 8]
337.0,1,31,173,[30, 8],null
338.0,1,31,172,[29, 9],[26, 12]
339.0,1,31,171,[28, 10],[26, 12]
340.0,1,31,171,[28, 10],[26, 12]
341.0,1,31,170,[27, 11],[26, 12]
342.0,1,31,169,[26, 12],null
343.0,1,31,167,[26, 14],[24, 16]
344.0,1,31,167,[26, 14],[24, 16]
345.0,1,31,165,[26, 15],[52, 11]
346.0,1,31,165,[26, 15],[52, 11]
347.0,1,31,164,[27, 14],[52, 11]
348.0,1,31,163,[28, 13],[52, 11]
349.0,1,31,161,[30, 11],[52, 11]
350.0,1,31,160,[31, 10],[52, 11]
351.0,1,31,159,[32, 11],[52, 11]
352.0,1,31,159,[32, 11],[52, 11]
353.0,1,31,157,[34, 11],[52, 11]
354.0,1,31,156,[35, 10],[52, 11]
355.0,1,31,156,[35, 10],[52, 11]
356.0,1,31,155,[36, 11],[52, 11]
357.0,1,31,154,[37, 10],[52, 11]
358.0,1,31,153,[38, 11],[52, 11]
359.0,1,31,152,[39, 10],[52, 11]
360.0,1,31,151,[40, 11],[52, 11]
361.0,1,31,150,[41, 10],[52, 11]
362.0,1,31,148,[43, 10],[52, 11]
363.0,1,31,147,[44, 11],[52, 11]
364.0,1,31,146,[45, 10],[52, 11]
365.0,1,31,145,[46, 11],[52, 11]
366.0,1,31,145,[46, 11],[52, 11]
367.0,1,31,143,[48, 11],[52, 11]
368.0,1,31,142,[49, 11],[52, 11]
369.0,1,31,142,[49, 11],[52, 11]
370.0,1,31,140,[51, 11],[52, 11]
371.0,1,31,140,[51, 11],[52, 11]
372.0,1,31,500,[52, 11],null
373.0,1,31,499,[51, 12],[48, 15]
374.0,1,31,497,[49, 14],[48, 15]
375.0,1,31,497,[49, 14],[48, 15]
376.0,1,31,496,[48, 15],null
377.0,1,31,495,[47, 15],[45, 14]
378.0,1,31,493,[45, 14],null
379.0,1,31,492,[45, 13],[44, 11]
380.0,1,31,492,[45, 13],[44, 11]
381.0,1,31,491,[45, 12],[44, 11]
382.0,1,31,489,[44, 10],[43, 8]
383.0,1,31,488,[44, 9],[43, 8]
384.0,1,31,488,[44, 9],[43, 8]
385.0,1,31,486,[44, 9],[45, 10]
386.0,1,31,485,[45, 10],null
387.0,1,31,485,[45, 10],null
388.0,1,31,484,[45, 11],null
389.0,1,31,482,[43, 13],[41, 15]
390.0,1,31,481,[42, 14],[41, 15]
391.0,1,31,480,[41, 15],null
392.0,1,31,480,[41, 15],null
393.0,1,31,479,[41, 16],[43, 19]
394.0,1,31,478,[41, 17],[43, 19]
395.0,1,31,477,[42, 18],[43, 19]
396.0,1,31,475,[44, 19],[47, 16]
397.0,1,31,474,[45, 18],[47, 16]
398.0,1,31,473,[46, 17],[47, 16]
399.0,1,31,472,[47, 16],null
400.0,1,31,472,[47, 16],null
401.0,1,31,471,[46, 16],[46, 17]
402.0,1,31,470,[46, 17],null
403.0,1,31,468,[44, 17],[42, 15]
404.0,1,31,468,[44, 17],[42, 15]
405.0,1,31,467,[43, 16],[42, 15]
406.0,1,31,466,[42, 15],null
407.0,1,31,464,[40, 15],[38, 17]
408.0,1,31,463,[39, 16],[38, 17]
409.0,1,31,462,[38, 17],null
410.0,1,31,462,[38, 17],null
411.0,1,31,461,[38, 16],[35, 13]
412.0,1,31,461,[38, 16],[35, 13]
413.0,1,31,459,[36, 14],[35, 13]
414.0,1,31,459,[36, 14],[35, 13]
415.0,1,31,457,[35, 12],[34, 9]
416.0,1,31,456,[35, 11],[34, 9]
417.0,1,31,455,[35, 10],[34, 9]
418.0,1,31,454,[34, 9],null
419.0,1,31,453,[35, 9],[37, 11]
420.0,1,31,452,[36, 10],[37, 11]
421.0,1,31,451,[37, 11],null
422.0,1,31,450,[37, 12],[35, 14]
423.0,1,31,450,[37, 12],[35, 14]
424.0,1,31,448,[35, 14],null
425.0,1,31,447,[35, 13],[33, 11]
426.0,1,31,446,[34, 12],[33, 11]
427.0,1,31,445,[33, 11],null
428.0,1,31,445,[33, 11],null
429.0,1,31,443,[32, 13],null
430.0,1,31,443,[32, 13],null
431.0,1,31,442,[31, 13],[30, 14]
432.0,1,31,440,[31, 14],[33, 12]
433.0,1,31,439,[32, 13],[33, 12]
434.0,1,31,439,[32, 13],[33, 12]
435.0,1,31,437,[32, 12],[30, 13]
436.0,1,31,437,[32, 12],[30, 13]
437.0,1,31,435,[30, 13],null
438.0,1,31,434,[30, 14],[27, 17]
439.0,1,31,434,[30, 14],[27, 17]
440.0,1,31,433,[29, 15],[27, 17]
441.0,1,31,432,[28, 16],[27, 17]
442.0,1,31,431,[27, 17],null
443.0,1,31,430,[27, 18],null
444.0,1,31,429,[26, 19],null
445.0,1,31,428,[27, 19],[30, 20]
446.0,1,31,427,[28, 19],[30, 20]
447.0,1,31,426,[29, 19],[30, 20]
448.0,1,31,424,[30, 19],[30, 18]
449.0,1,31,423,[30, 18],null
450.0,1,31,423,[30, 18],null
451.0,1,31,422,[29, 18],null
452.0,1,31,420,[31, 17],null
453.0,1,31,420,[31, 17],null
454.0,1,31,418,[29, 17],[28, 16]
455.0,1,31,418,[29, 17],[28, 16]
456.0,1,31,417,[28, 16],null
457.0,1,31,416,[27, 15],null
458.0,1,31,414,[29, 16],null
459.0,1,31,413,[29, 15],[30, 12]
460.0,1,31,413,[29, 15],[30, 12]
461.0,1,31,411,[29, 13],[30, 12]
462.0,1,31,410,[30, 12],null
463.0,1,31,409,[29, 12],[26, 15]
464.0,1,31,409,[29, 12],[26, 15]
465.0,1,31,407,[27, 14],[26, 15]
466.0,1,31,406,[26, 15],null
467.0,1,31,405,[27, 15],[29, 13]
468.0,1,31,405,[27, 15],[29, 13]
469.0,1,31,403,[29, 13],null
470.0,1,31,402,[28, 13],[27, 12]
471.0,1,31,401,[27, 12],null
472.0,1,31,401,[27, 12],null
473.0,1,31,400,[26, 12],[25, 13]
474.0,1,31,398,[25, 12],[27, 10]
475.0,1,31,397,[26, 11],[27, 10]
476.0,1,31,396,[27, 10],null
477.0,1,31,395,[27, 9],[27, 6]
478.0,1,31,394,[27, 8],[27, 6]
479.0,1,31,393,[27, 7],[27, 6]
480.0,1,31,392,[27, 6],null
481.0,1,31,392,[27, 6],null
482.0,1,31,390,[25, 6],[23, 7]
483.0,1,31,389,[24, 6],[23, 7]
484.0,1,31,388,[23, 7],null
485.0,1,31,387,[24, 7],[26, 8]
486.0,1,31,387,[24, 7],[26, 8]
487.0,1,31,385,[26, 8],null
488.0,1,31,385,[26, 8],null
489.0,1,31,383,[26, 10],[27, 11]
490.0,1,31,382,[27, 11],null
491.0,1,31,382,[27, 11],null
492.0,1,31,380,[25, 12],[24, 13]
493.0,1,31,380,[25, 12],[24, 13]
